rank,id,smiles,fit_score,n_hits
21593,F1913-4289,C#Cc1cccc(C(C)=O)c1,0.16197742762614012,2
21594,F1904-1676,CCC(CC)c1ncnc(C#N)c1F,0.16197738042931678,1
21595,F2147-6606,Cc1noc(C)c1CC(N)C(=O)O,0.1619769911696601,1
21596,F2198-4632,Cc1[nH]nc(C(F)(F)F)c1CN,0.16197152672384027,1
21597,F2167-4083,Cl.Cl.NCc1ccnc(-c2ccco2)c1,0.16197034724373416,1
21598,F2198-1517,CC(C)c1n[nH]c(C(C)C)c1CBr,0.16196479152410598,1
21599,F2198-4357,CC(C)c1n[nH]c(C2CCC2)c1CN=[N+]=[N-],0.1619624559217653,1
21600,F2167-7333,CC(C)(C)OC(=O)N1CCC2(CNCC2C(=O)O)C1,0.1619616819376339,1
21601,F1921-1254,CP(C)(=O)Cc1ccc(CC(=O)O)cc1,0.16196133083076303,1
21602,F8888-2524,COC(=O)C1(CBr)CC1,0.16195561593550123,1
21603,F2197-2827,Cc1ccc2nc(C3CCOCC3)[nH]c2c1,0.1619536477344676,1
21604,F6541-2753,CCc1cc(NCC(F)(F)F)ncn1,0.16194811411953475,2
21605,F1903-9263,Cc1nc(CCC(F)(F)F)c(F)c(=O)[nH]1,0.16194291992103232,2
21606,F8888-4953,C1CC2CCC1CN2.Cl,0.16193834480285385,2
21607,F1907-4837,OC1CN(c2cc(Cl)nc(C3CC3)n2)C1,0.16193773917857796,1
21608,F2197-4916,COc1ncccc1N1CCCNCC1,0.16193768431950803,1
21609,F2198-3500,ClCCc1c(-c2ccco2)n[nH]c1C1CC1,0.16193698969845569,1
21610,F1916-6010,Nc1c(Cl)ncnc1NCc1ccccn1,0.16193677728318137,2
21611,F1918-0653,CC(C)(C)OC(=O)N1CCC(c2cncc3sc(C(=O)O)cc23)CC1,0.16193563719933415,2
21612,F1922-4298,Cc1cc2ccn(C)c2cc1F,0.16193473498062225,1
21613,F1967-1540,Clc1ccc2nnc(C3CCCO3)n2n1,0.16193363101247393,1
21614,F6541-6861,CC1(O)CN(c2ncccc2Br)C1,0.16193281763178533,1
21615,F2167-5295,Cc1nc(C)c(COCC2CCNC2)s1,0.16192908984482823,2
21616,F2198-2730,CCc1[nH]ncc1CCO,0.16192885331481666,1
21617,F1913-5749,Cl.Cl.c1cc2cc(C3CCNCC3)ccc2cn1,0.16192693418630083,1
21618,F0001-5316,O=C(O)[C@@H]1CC[C@H]1C(=O)O,0.1619262767556795,1
21619,F1910-9719,CNCCN(C)c1ccc(C#N)c(C(F)(F)F)c1,0.16192316770138093,1
21620,F2167-0597,Cl.Clc1ccc(SCC2CCCCN2)cc1,0.16192040449115316,1
21621,F1922-3440,CCCOCCC(N)c1ccc2ccccc2c1,0.16191863506927176,2
