synthon_smiles,original_smiles,parent_fit_score,parent_n_hits,reactivity,bb_info
CC(C)(C)Oc1ccc(C2CC2([CH:10]=O)[NH2:40])cc1,COC(=O)C1(N)CC1c1ccc(OC(C)(C)C)cc1,0.5763572836780457,4,bifunctional,{'Bifunctional_Amine_Ester'}
O=c1cc(-c2ccc(F)cc2)[nH]c([NH2:20])n1,Nc1nc(-c2ccc(F)cc2)cc(=O)[nH]1,0.5675340549841372,3,nucleophile,{'PrimaryAmines_PriAmines_Het-Anilines'}
O=c1cc(-c2ccc(F)cc2)[nH]c([NH2:40])n1,Nc1nc(-c2ccc(F)cc2)cc(=O)[nH]1,0.5675340549841372,3,nucleophile,{'PrimaryAmines_PriAmines_Het-Anilines'}
NC(=O)c1ccc(OC2CC[NH:20]CC2)cc1,NC(=O)c1ccc(OC2CCNCC2)cc1,0.555679119337439,3,nucleophile,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_Cyc-Aliphatic'}"
Fc1ccc(C2C(F)(F)CCC[NH:20]2)cc1,Fc1ccc(C2NCCCC2(F)F)cc1,0.5548598776358514,3,nucleophile,"{'SecondaryAmines_Cyc-Benzylic', 'SecondaryAmines_secAliphatic', 'SecondaryAmines_SecAmines_Aliphatic_Fluorinated', 'SecondaryAmines_Cyc-Aliphatic'}"
CNCc1c[cH:10]c(F)cc1F,CNCc1cc(Br)c(F)cc1F,0.5516585259713562,3,electrophile,{'ArylHalide_Aryl_halides_Pd'}
C[NH:20]Cc1cc(Br)c(F)cc1F,CNCc1cc(Br)c(F)cc1F,0.5516585259713562,3,nucleophile,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_secBenzylic'}"
C[NH:20]Cc1c[cH:10]c(F)cc1F,CNCc1cc(Br)c(F)cc1F,0.5516585259713562,3,bifunctional,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_secBenzylic', 'ArylHalide_Aryl_halides_Pd'}"
COc1ccc(-c2cc(=O)[nH]c([NH2:40])n2)cc1,COc1ccc(-c2cc(=O)[nH]c(N)n2)cc1,0.5513264991760393,3,nucleophile,{'PrimaryAmines_PriAmines_Het-Anilines'}
COc1ccc(-c2cc(=O)[nH]c([NH2:20])n2)cc1,COc1ccc(-c2cc(=O)[nH]c(N)n2)cc1,0.5513264991760393,3,nucleophile,{'PrimaryAmines_PriAmines_Het-Anilines'}
COc1cc(C2CC([CH:10]=O)C(=O)N2)cc(OC)c1OC,COc1cc(C2CC(C(=O)O)C(=O)N2)cc(OC)c1OC,0.550893319417077,3,electrophile,{'Acid_Aliphatic_Acid'}
C[NH:20]Cc1cc(F)c(F)cc1F,CNCc1cc(F)c(F)cc1F,0.5461746548329246,3,nucleophile,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_secBenzylic'}"
CC1CC1(c1cc(F)c(F)cc1F)[NH2:20],CC1CC1(N)c1cc(F)c(F)cc1F,0.5456648888848389,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
CC1CC1(c1cc(F)c(F)cc1F)[NH2:40],CC1CC1(N)c1cc(F)c(F)cc1F,0.5456648888848389,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
